City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Grindavik,IS,63.8424,-22.4338,48.56,68,75,14.25,light rain
256,Lata,PT,40.1629,-8.3327,58.93,68,10,9.26,clear sky
257,Husavik,IS,66.0449,-17.3389,40.91,98,100,10.02,overcast clouds
258,La Romana,DO,18.4273,-68.9728,89.96,55,40,6.91,scattered clouds
259,Santa Cruz,BO,-17.8,-63.1667,66.9,37,100,10.6,overcast clouds
260,Chara,RU,56.9064,118.2631,34.32,84,100,6.42,light rain
261,Disna,BY,55.568,28.1971,48.99,96,100,8.12,overcast clouds
262,Lompoc,US,34.6391,-120.4579,72.01,66,1,11.5,clear sky
263,Samarai,PG,-10.6167,150.6667,78.78,77,100,17.83,overcast clouds
264,Guerrero Negro,MX,27.9769,-114.0611,68.86,48,0,17.18,clear sky
265,Puerto Madryn,AR,-42.7692,-65.0385,58.21,50,99,8.68,overcast clouds
266,Sitka,US,57.0531,-135.33,48.09,76,75,3.44,light rain
267,Tocopilla,CL,-22.092,-70.1979,67.5,69,98,3.67,overcast clouds
268,Ust-Maya,RU,60.4167,134.5333,43.34,60,100,6.82,overcast clouds
269,Asfi,MA,32.2994,-9.2372,64.9,56,0,27.45,clear sky
270,Fuxin,CN,42.0156,121.6589,56.41,18,45,6.76,scattered clouds
271,Pisco,PE,-13.7,-76.2167,68.05,73,0,12.66,clear sky
272,Thompson,CA,55.7435,-97.8558,59.16,38,1,8.05,clear sky
273,Ahuimanu,US,21.4447,-157.8378,80.78,78,40,11.5,scattered clouds
274,Arona,ES,28.0996,-16.681,64.33,61,20,8.01,few clouds
275,Bandarbeyla,SO,9.4942,50.8122,81.01,77,100,26.11,overcast clouds
276,Katangli,RU,51.7102,143.2326,34.05,95,100,7.81,overcast clouds
277,Saskylakh,RU,71.9167,114.0833,37.2,89,100,14.83,overcast clouds
278,Vestmanna,FO,62.1564,-7.1664,45.52,73,75,9.28,broken clouds
279,Porto Novo,BJ,6.4965,2.6036,82.22,74,100,5.59,overcast clouds
280,Egvekinot,RU,66.3167,-179.1667,29.37,86,100,4.63,overcast clouds
281,Canto Do Buriti,BR,-8.11,-42.9444,94.41,27,100,8.5,overcast clouds
282,Okhotsk,RU,59.3833,143.3,31.37,92,100,2.42,overcast clouds
283,Hervey Bay,AU,-25.2986,152.8535,61.03,89,5,3.0,clear sky
284,Zaysan,KZ,47.4667,84.8667,58.35,54,0,5.57,clear sky
285,Yaan,NG,7.3833,8.5667,81.73,65,80,3.91,light rain
286,Tokur,RU,53.1333,132.9,34.5,99,100,4.18,moderate rain
287,Cascavel,BR,-24.9558,-53.4553,61.23,37,0,11.5,clear sky
288,Neuquen,AR,-38.9516,-68.0591,64.29,48,0,5.75,clear sky
289,Ware,GB,51.8126,-0.0283,54.55,81,75,5.99,light rain
290,Bastia,FR,42.6667,9.3333,64.29,82,75,1.83,broken clouds
291,San Ignacio,BZ,17.1561,-89.0714,91.54,67,75,7.65,broken clouds
292,Clyde River,CA,70.4692,-68.5914,21.43,86,90,17.27,overcast clouds
293,Porto Santo,PT,33.072,-16.3415,66.31,55,40,14.97,scattered clouds
294,Utevka,RU,52.9035,50.9495,81.82,22,80,19.62,broken clouds
295,Muros,ES,42.7762,-9.0603,58.08,89,100,16.28,overcast clouds
296,Kailua,US,21.4022,-157.7394,81.07,78,40,11.5,scattered clouds
297,Eyemouth,GB,55.8713,-2.0901,49.23,83,100,20.09,moderate rain
298,Naberera,TZ,-4.2,36.9333,59.31,89,87,8.23,overcast clouds
299,Namuac,PH,18.6109,121.1657,80.37,82,0,8.61,clear sky
300,Komsomolskiy,UZ,40.4272,71.7189,74.12,33,100,6.91,overcast clouds
301,Lishu,CN,43.3047,124.3278,47.59,90,0,11.27,clear sky
302,Kamenka,RU,51.3223,42.7678,60.8,96,22,6.98,few clouds
303,Mezhova,UA,48.2532,36.7347,59.76,78,0,7.31,clear sky
304,Chicama,PE,-7.8447,-79.1469,66.74,65,11,10.25,few clouds
305,Platteville,US,42.7342,-90.4785,78.58,88,90,4.61,overcast clouds
306,Haifa,IL,32.8156,34.9892,72.54,68,20,8.05,few clouds
307,Jiuquan,CN,39.7432,98.5174,52.56,20,0,3.09,clear sky
308,Ornskoldsvik,SE,63.2909,18.7153,42.62,77,90,1.9,overcast clouds
309,Beyneu,KZ,45.3167,55.2,81.79,20,0,9.89,clear sky
310,Edd,ER,13.9297,41.6925,91.87,48,0,6.33,clear sky
311,Georgetown,MY,5.4112,100.3354,82.89,84,20,1.01,few clouds
312,Padang,ID,-0.9492,100.3543,78.35,86,49,3.15,scattered clouds
313,Corner Brook,CA,48.9667,-57.9484,42.96,98,100,3.74,light rain
314,Fare,PF,-16.7,-151.0167,81.01,74,33,14.2,scattered clouds
315,Raymond,US,43.9015,-70.4703,73.35,72,100,15.19,overcast clouds
316,San Cristobal,VE,7.7669,-72.225,84.38,57,97,6.04,overcast clouds
317,Laem Sing,TH,12.4816,102.0738,81.05,78,98,14.52,light rain
318,Abaete,BR,-19.16,-45.4458,82.65,42,100,9.93,moderate rain
319,Luganville,VU,-15.5333,167.1667,75.31,79,100,6.29,overcast clouds
320,Penha,BR,-26.7694,-48.6458,75.07,43,0,7.63,clear sky
321,Kemijarvi,FI,66.7131,27.4306,36.41,83,93,9.4,overcast clouds
322,Khasan,RU,42.4308,130.6434,57.6,63,100,12.93,overcast clouds
323,Shieli,KZ,44.1667,66.75,79.92,22,4,18.66,clear sky
